Topic,Words,Probabilities
Topic 50,"morph, evolutionary, eco, selection, qg, ecological, trait, nfds, oligomorphic, ecology","0.029004111453350356, 0.023281000159639763, 0.022217193528432752, 0.01874208989095347, 0.014858787899543657, 0.014750311922302292, 0.013285866587160553, 0.010398702209347577, 0.01038025101612971, 0.009046266566554946"
Topic 51,"rattus, rodent, musculus, rodents, trapping, norvegicus, natalensis, invasive, immune, senegal","0.03546128160061914, 0.023383168045769665, 0.022145333160831816, 0.021546117410898208, 0.018313617817478336, 0.015228462811338113, 0.013670905871368062, 0.013476508468688508, 0.010206340690483746, 0.010089837040218295"
Topic 52,"ires, rivers, buffers, sediment, ecosystem, river, aquatic, riparian, catchment, biodiversity","0.024691930979911948, 0.023669610135898526, 0.023312868584242356, 0.018596753649424768, 0.01734942703247989, 0.013193059593657918, 0.012943770746216518, 0.012167198039612151, 0.011449507394386587, 0.009534408782073673"
Topic 53,"phylogenetic, phylogeny, species, diversity, traits, diversification, redundancy, sse, branch, clades","0.04786355273699616, 0.018573694810910726, 0.0162061821134453, 0.01577984575977425, 0.015621889574817074, 0.01215134772468769, 0.011699823096079223, 0.01086677757200576, 0.01004805822106937, 0.008204409665660205"
Topic 54,"fish, intestinal, stomach, feces, triostegus, absorption, coral, trophic, diet, moorea","0.04663025471170664, 0.038714921081878816, 0.023865199754228083, 0.02084655305207938, 0.019453313724184004, 0.01597130752907163, 0.014397555566604903, 0.013910923185388665, 0.012902137997212433, 0.011034061629674652"
Topic 55,"recherche, archive, des, bird, ecology, franais, birds, montpellier, trangers, tablissements","0.017483187358427965, 0.017174868145531517, 0.017153910242324277, 0.013657785923147165, 0.012442238897678724, 0.010348309144619884, 0.010339228909188758, 0.010295227946521344, 0.010128555782550447, 0.010128555782550447"
Topic 56,"teeth, snakes, shape, prey, curvature, pmm, mammals, hlusko, snake, elongated","0.04020082804974963, 0.034970425532900605, 0.02947608019562403, 0.0233497251544318, 0.021587391738111694, 0.01823703774505956, 0.01291220832392192, 0.011404761982115413, 0.011046073819214417, 0.009729536493064465"
Topic 57,"ficus, wasp, wasps, fig, species, pollinators, trees, sycoscapter, apocryptophagus, oviposit","0.039606423111679175, 0.032246210341385834, 0.02538713248395844, 0.022722041423677487, 0.022137529580476753, 0.01799081467433811, 0.01519823624501193, 0.01457921661263983, 0.013608673062939312, 0.011623025532250513"
Topic 58,"wolbachia, spider, bassiana, mites, tetranychus, urticae, infected, fungi, females, gracillariidae","0.06313297099914186, 0.023194251592211834, 0.020435450707619367, 0.016421366149336016, 0.016348424599747134, 0.01561486449783635, 0.012607299950961128, 0.012166541069297807, 0.011591312548237826, 0.011186960242099092"
Topic 59,"river, downstream, networks, ecosystems, bacteria, communities, flows, densities, synchrograms, metaecosystems","0.03069948322667451, 0.02394714617443359, 0.02048651599506029, 0.01570788027026836, 0.01528485815069726, 0.014771012675268173, 0.013296555003052275, 0.011805707176312172, 0.011462314436473045, 0.010371103218977176"
Topic 60,"owls, owl, breeding, tawny, predation, females, age, reproduction, goshawks, kielder","0.05022212362678269, 0.03940452608035209, 0.03368321166249318, 0.03104980920843366, 0.02851824508004812, 0.018782234678072465, 0.018336483754982723, 0.011857009834327352, 0.01158799665767252, 0.011556315624126828"
Topic 61,"epigenetic, methylation, epigenetics, phenotypic, thaliana, genome, plant, nonmodel, richards, ecological","0.08585764803962098, 0.06237580790561824, 0.023030094646155214, 0.015283444576637738, 0.015004568940334159, 0.01307153554756, 0.01039578683907865, 0.009728781068053046, 0.009699934471781108, 0.009469834616861699"
Topic 62,"pallida, isolates, virulence, infestans, nematodes, phytophthora, meloidogyne, genome, rootknot, tomato","0.023017794969508884, 0.02256098258002247, 0.02153583648210915, 0.021504753217915815, 0.02061809499525188, 0.017251049958365856, 0.015218946880740762, 0.012990051316496989, 0.011476169593012365, 0.010363283657106415"
Topic 63,"des, research, archive, forest, tree, ecology, publics, tablissements, scientifiques, laboratoires","0.028459642442896463, 0.026211601509063036, 0.019358719740322574, 0.01616657482480817, 0.014534845444388333, 0.0131564538658654, 0.01141644122721442, 0.01141644122721442, 0.011410990433456147, 0.01140012803538808"
Topic 64,"phyllonorycter, sonchus, oleraceus, carpodacus, herbivore, species, chloris, tephritis, spumarius, hemiptera","0.05002634951273754, 0.02252935431969629, 0.01869595170816978, 0.014803463930603052, 0.012307946084570077, 0.009760647157722296, 0.009303869524008307, 0.009273962736565498, 0.00863522259410826, 0.0085576713989191"
Topic 65,"penguins, 13c, muscle, values, penguin, antarctic, seals, subantarctic, egg, breeding","0.055699069040227374, 0.05019502877502284, 0.03743160328171914, 0.03409720293472338, 0.029116523439152244, 0.019883604096660665, 0.01892249398642028, 0.01733148576486355, 0.01652630015107915, 0.014241923176341627"
