Topic	Words	Probabilities
Topic 64	('breeding', 'reproduction', 'reproductive', 'breeders', 'breed', 'reproduce', 'sexrelated', 'foal', 'females', 'horses')	(0.5316704, 0.52803516, 0.48032898, 0.43549448, 0.4019608, 0.39272997, 0.33687723, 0.3224523, 0.28903216, 0.2855656)
Topic 65	('plants', 'metabolites', 'metabolomic', 'metabolite', 'plant', 'glucose', 'morphotypes', 'phosphate', 'fermentation', 'acids')	(0.46385425, 0.40377924, 0.38029343, 0.33565024, 0.3316151, 0.2898879, 0.28971744, 0.27178606, 0.27089196, 0.269754)
Topic 66	('climatic', 'canopy', 'climate', 'leaves', 'warming', 'wind', 'temperatures', 'leaf', 'shaded', 'temperature')	(0.3880157, 0.37496397, 0.36926723, 0.3420932, 0.31303316, 0.3077844, 0.30518678, 0.2926559, 0.28932908, 0.286406)
Topic 67	('spermatogenesis', 'sperm', 'reproduction', 'reproductive', 'fertilization', 'seminal', 'mating', 'ejaculates', 'testicular', 'evolutionary')	(0.6299239, 0.6018574, 0.5496198, 0.5470569, 0.48474818, 0.47302735, 0.45618665, 0.44120938, 0.3996131, 0.3921237)
Topic 68	('soils', 'soil', 'grassland', 'nutrient', 'grasslands', 'nutrients', 'micronutrients', 'micronutrient', 'biomass', 'nitrogen')	(0.47643942, 0.47341165, 0.42915112, 0.40781042, 0.37755233, 0.36488187, 0.36038402, 0.3486551, 0.319148, 0.275796)
Topic 69	('speciation', 'andes', 'neotropical', 'andean', 'peru', 'lineages', 'ancestral', 'ecuador', 'extinction', 'bolivia')	(0.52465415, 0.45617205, 0.44191664, 0.39041683, 0.3579191, 0.35431147, 0.33462423, 0.30989003, 0.28756082, 0.28435063)
Topic 70	('pathogens', 'tlr', 'tlrs', 'tlr4', 'immunerelated', 'genes', 'haplotypes', 'genetic', 'gene', 'subspecies')	(0.44791585, 0.39912117, 0.3808407, 0.3762521, 0.36327636, 0.33946598, 0.32128406, 0.31922883, 0.31908017, 0.31012332)
Topic 71	('biodiversity', 'birds', 'species', 'bird', 'alien', 'impacts', 'costs', 'predation', 'parakeet', 'cost')	(0.44604504, 0.43572336, 0.43204445, 0.4008365, 0.36418968, 0.34267226, 0.31283492, 0.29385653, 0.2662628, 0.26620635)
Topic 72	('trees', 'crown', 'forests', 'speciesspecic', 'foliage', 'tree', 'species', 'crowns', 'diversity', 'phenology')	(0.37607747, 0.3660973, 0.35974818, 0.35931164, 0.3497703, 0.33487546, 0.3054458, 0.30370176, 0.27697745, 0.27338174)
Topic 73	('biodiversity', 'ecosystems', 'ecosystem', 'grassland', 'diversity', 'species', 'coexistence', 'dominance', 'dominant', 'biomass')	(0.48978376, 0.45577484, 0.44459102, 0.38958177, 0.37759405, 0.3443229, 0.3417016, 0.30977613, 0.27550578, 0.24956125)
