Topic	Words	Probabilities
Topic 61	('herbivore', 'tree', 'oak', 'herbivory', 'insect', 'leaf', 'ant', 'associational', 'mildew', 'impervious')	(0.03901970701044434, 0.03154618526330588, 0.02969566432659411, 0.02766245699267576, 0.026653058038682276, 0.019778083662013165, 0.018963046576528027, 0.017873694121987842, 0.017451477299178456, 0.01734328943568578)
Topic 62	('mass', 'na', 'body', 'birth', 'date', 'kg', 'growth', 'antler', 'adult', 'yearling')	(0.07099434161805533, 0.06313791269945435, 0.060279821766491395, 0.05684588786133879, 0.03146021135151434, 0.028171531085826273, 0.023870148050751366, 0.02370698727880209, 0.023575353550484485, 0.022438621178077513)
Topic 63	('humile', 'invicta', 'bait', 'ant', 'bird', 'predation', 'arthropod', 'abundance', 'patagonicus', 'fallax')	(0.042020668642910645, 0.040779594166135094, 0.03851756127258116, 0.03166257598772012, 0.02766032127404566, 0.018023487836388987, 0.01743893365984608, 0.016832415281429786, 0.015744880385186562, 0.014936604231133247)
Topic 64	('immune', 'roe', 'deer', 'immunity', 'antibody', 'tick', 'haptoglobin', 'age', 'haemagglutination', 'serological')	(0.04439770644476754, 0.03087271377280998, 0.03070646023624162, 0.029442207271995625, 0.026336223325539886, 0.024062427140219327, 0.018153203812417654, 0.017545626494842002, 0.016372065540316456, 0.014964010174194327)
Topic 65	('island', 'archipelago', 'endemic', 'speciation', 'eigenfunctions', 'canary', 'biogeography', 'directional', 'azores', 'equilibrium')	(0.08294659042991087, 0.02792118075328281, 0.025953030627437774, 0.018720849913515407, 0.01591066663075982, 0.014575426115093344, 0.013842625064733678, 0.013482810265783834, 0.013225685767333219, 0.013171068053811238)
Topic 66	('wolbachia', 'mite', 'spider', 'urticae', 'bassiana', 'tetranychus', 'infection', 'versus', 'brunneum', 'zl')	(0.034401415370134546, 0.0339148833199546, 0.027990093351927453, 0.02724956264035755, 0.02674449662229397, 0.024983025481564516, 0.021045490397852324, 0.02043282343138723, 0.01948124940872634, 0.018873821273012827)
Topic 67	('wing', 'mimicry', 'colour', 'timareta', 'conspicuousness', 'phenotype', 'melpomene', 'spot', 'ring', 'derived')	(0.07337843638368285, 0.04686381125844072, 0.046757337462963074, 0.03513688709364477, 0.030687936331186844, 0.02834367726525276, 0.02683551138559077, 0.02541072010795438, 0.023394445579332485, 0.022676610592675644)
Topic 68	('dee', 'model', 'sst', 'suitability', 'chough', 'temperature', 'habitat', 'aic', 'variable', 'monthly')	(0.02107081442963219, 0.01657222967391967, 0.016544238655896208, 0.015095936858518, 0.013929441866398306, 0.013734658193384767, 0.013261764266271459, 0.012925496450211734, 0.012688120216183818, 0.012243756808874174)
Topic 69	('fishery', 'fish', 'marine', 'recherche', 'document', 'closure', 'reef', 'stock', 'public', 'sh')	(0.024840376779221292, 0.023573847529383345, 0.018559608075421428, 0.01219636585441182, 0.01172324773065519, 0.009641405043603711, 0.009529496410550554, 0.009459691940744952, 0.009339676413026255, 0.008992319473309156)
Topic 70	('beetle', 'saproxylic', 'deadwood', 'pwn', 'manuscrit', 'energy', 'forest', 'ccz', 'insect', 'diversity')	(0.056117730157110746, 0.03918728239051233, 0.017151351588713656, 0.01602167094201957, 0.01564098984556248, 0.01465287546962155, 0.01459355653523982, 0.01445366701521417, 0.01381749413093421, 0.012282336019896808)
Topic 71	('sperm', 'male', 'fertilization', 'ageing', 'ejaculate', 'ph', 'allocation', 'competition', 'seminal', 'planeri')	(0.1110919232376735, 0.0360343223055337, 0.03495869861772356, 0.03195660720775727, 0.021978342617293905, 0.0193409299607716, 0.019050377825463444, 0.018843587136555085, 0.017319721833950287, 0.01697043161302071)
Topic 72	('butterfly', 'urban', 'garden', 'urbanization', 'landscape', 'conservation', 'julliard', 'naturalness', 'biodiversity', 'agricultural')	(0.03287215105682944, 0.02542133475371143, 0.022899612427529113, 0.02010135681913748, 0.019352332256642703, 0.014044748340292882, 0.012070886141473119, 0.011490778527982987, 0.01062421098551053, 0.010490076283975929)
Topic 73	('feather', 'oxidative', 'plumage', 'carotenoid', 'pigeon', 'zinc', 'iridescent', 'coloration', 'galvn', 'colouration')	(0.07436094198022726, 0.04909899320145378, 0.035186093402293464, 0.02832492940343798, 0.027411390879618382, 0.027030677117401463, 0.026544488761078264, 0.026324616063921367, 0.020976597060495324, 0.020503564721259696)
Topic 74	('web', 'logbody', 'prey', 'predation', 'eciency', 'food', 'predator', 'conversion', 'ki', 'yf')	(0.04168884917912479, 0.03732617552141282, 0.03654978468326606, 0.03471919155478249, 0.033097285280718224, 0.031712178444807046, 0.028787997428980163, 0.026425080965147608, 0.02543587851188995, 0.02447990060811276)
Topic 75	('primer', 'set', 'sample', 'bat', 'motus', 'sequence', 'coi', 'read', 'dna', 'variant')	(0.0613695497048344, 0.030790122851362213, 0.02664158618932803, 0.02341637583940053, 0.023165944285877215, 0.022565500543465573, 0.020088295658967102, 0.01942852149457006, 0.0183808749317434, 0.01788639310978533)
Topic 76	('bird', 'extinction', 'conservation', 'finch', 'biodiversity', 'human', 'http', 'science', 'ecology', 'darwin')	(0.0167570518501502, 0.011716348874586365, 0.01080598077276382, 0.010618911807898592, 0.009873635789907758, 0.009666319168186934, 0.009401984859985186, 0.009377838391436124, 0.009213722010899792, 0.009043957209844087)
