Topic	Words	Probabilities
Topic 43	['heritage', 'being', 'well', 'nature', 'equity', 'constructs', 'cultural', 'values', 'people', 'value', 'human', 'and', 'as', 'to', 'of']	[0.04843287689519502, 0.04202949855389567, 0.038950477758563744, 0.02180928762053874, 0.01974398402194015, 0.01799442348607028, 0.017361348364364676, 0.016881712091062713, 0.01687028389641241, 0.016073913831885254, 0.01586246643316032, 0.015819831680431336, 0.013305338984879745, 0.012916162230203558, 0.01257214847951525]
Topic 44	['telomere', 'length', 'telomeres', 'body', 'helpers', 'troc', 'chicks', 'life', 'age', 'chick', 'maternal', 'al', 'et', 'tl', 'size']	[0.08084326676180396, 0.030142131049941408, 0.02372630257325154, 0.022463728532001646, 0.02125983289667559, 0.021031862860505034, 0.018161937505909883, 0.017691594156921377, 0.015633668488002822, 0.01424910134922487, 0.014235665997534234, 0.013975396240331717, 0.013728867893938719, 0.01362312084617617, 0.012666228980020547]
Topic 45	['mpas', 'marine', 'mpa', 'engagement', 'climate', 'change', 'conservation', 'sdg', 'human', 'sdgs', 'california', 'areas', 'ecosystem', 'services', 'and']	[0.051306465730595385, 0.044818654112897274, 0.03309015608131739, 0.03171870709752325, 0.02181894718342885, 0.019285443791761246, 0.017311310519260183, 0.016402790059320344, 0.015626564867248453, 0.01556047229499427, 0.015279933374057956, 0.014886778625301036, 0.014674452139155202, 0.014433667691734367, 0.013362940691832434]
Topic 46	['fly', 'fruit', 'host', 'zonata', 'arisanus', 'species', 'dorsalis', 'tephritidae', 'plant', 'invasion', 'quilicii', 'flies', 'plants', 'capitata', 'bactrocera']	[0.03237640549162314, 0.030846734984184696, 0.027304176553466786, 0.024316020315585163, 0.0231004819270903, 0.022990655834575435, 0.02094821696447113, 0.017110707996389102, 0.016817411775297893, 0.016611289922030936, 0.014906735332474597, 0.014535682163375188, 0.014506825337410692, 0.013276241431199673, 0.012193892809342825]
Topic 47	['edna', 'species', 'metabarcoding', 'https', 'dna', 'marine', 'depth', 'fish', 'biodiversity', 'coral', 'al', 'reef', 'et', 'motu', 'and']	[0.048119610462914936, 0.015982704305658922, 0.015803362494852726, 0.015212308230259586, 0.014919027885123249, 0.014078529156819671, 0.013947376086512524, 0.013549608702389145, 0.012737491048416854, 0.012625629095900662, 0.012605623797757157, 0.012584009801379675, 0.012382776179002321, 0.011416276756074322, 0.01094372934092434]
Topic 48	['foraging', 'breeding', 'niche', 'boldness', 'cdp', 'seabirds', 'sgdp', 'weimerskirch', 'al', 'et', 'and', 'the', 'to', 'in', 'diving']	[0.023792861549712045, 0.022964525815071014, 0.020197070032918353, 0.017147121148844795, 0.015726632075976812, 0.015064629046962742, 0.01471291331025446, 0.0128508035294743, 0.012580899155392958, 0.012293215563906362, 0.01208070216246308, 0.011979546868960321, 0.01186025475717115, 0.01158096376053026, 0.011429649037716089]
Topic 49	['sperm', 'fertilization', 'ph', 'ageing', 'male', 'males', 'ejaculate', 'competition', 'age', 'reproductive', 'in', 'pht', 'production', 'allocation', 'of']	[0.08986758914537576, 0.03287721411708137, 0.03085538774404599, 0.02073382446528566, 0.020585521789925783, 0.01870635398654258, 0.01681794473878936, 0.016311112033697315, 0.015243889686583289, 0.013079627534196952, 0.012796005857121068, 0.01259538474344213, 0.012227777331613694, 0.01219357325998572, 0.011828916197209332]
Topic 50	['morph', 'evolutionary', 'eco', 'dynamics', 'selection', 'evolution', 'omd', 'the', 'ecological', 'qg', 'variance', 'trait', 'is', 'of', 'to']	[0.028837726859664046, 0.023772361172399174, 0.022286898305202533, 0.021848791355672702, 0.02131538308565869, 0.017539732771465772, 0.01668164361640834, 0.015595523405291295, 0.015144807068743387, 0.014799104975517022, 0.014026112619276025, 0.013965501569515268, 0.013868946821569337, 0.012996118408204369, 0.012896111379413799]
Topic 51	['santomea', 'yakuba', 'males', 'drosophila', 'bcyak', 'courtship', 'male', 'sexual', 'mate', 'song', 'females', 'spot', 'in', 'pigmentation', 'that']	[0.036144728674869786, 0.03499974303972019, 0.023889019707680065, 0.0167295089737862, 0.01616715302981865, 0.015230976938372014, 0.015081370777856904, 0.014879241944781636, 0.01442011958862227, 0.014358219300966462, 0.014186653874982713, 0.013953774955165874, 0.013156977678119037, 0.012822743450588526, 0.0126167736801513]
Topic 52	['teeth', 'snakes', 'tooth', 'shape', 'dental', 'prey', 'curvature', 'mmc', 'pmm', 'head', 'the', 'and', 'of', 'landmarks', 'mammals']	[0.03794093685324103, 0.03299934922239587, 0.02970290223762567, 0.027382608616849935, 0.025138953700562097, 0.02190165723766003, 0.020111668388098816, 0.01934462000011733, 0.017222725284282977, 0.017005106214307245, 0.015016284853225816, 0.013470807886120557, 0.013268794372914972, 0.012359929155726307, 0.01216211184285578]
