,node,source,fa_score,la_score,size,abs_fa_score,abs_la_score,feature_name
125,"('GBIF:691', 'Rosales')",order,0.097402597,-0.350649351,77,0.097402597,0.35064935064935066,"order_tuple_Count_('GBIF:691', 'Rosales')"
126,"('GBIF:640', 'Pinales')",order,0.02247191,-0.331460674,89,0.02247191,0.33146067415730335,"order_tuple_Count_('GBIF:640', 'Pinales')"
127,"('GBIF:1144', 'Russulales')",order,-1,-1,1,1,1,"order_tuple_Count_('GBIF:1144', 'Russulales')"
128,"('GBIF:1063', 'Boletales')",order,-1,-1,1,1,1,"order_tuple_Count_('GBIF:1063', 'Boletales')"
129,"('GBIF:1499', 'Agaricales')",order,-0.333333333,-0.333333333,3,0.3333333333333333,0.3333333333333333,"order_tuple_Count_('GBIF:1499', 'Agaricales')"
130,"('GBIF:1354', 'Fagales')",order,-0.05,-0.36,100,0.05,0.36,"order_tuple_Count_('GBIF:1354', 'Fagales')"
131,"('GBIF:952', 'Anura')",order,0,-0.7,10,0,0.7,"order_tuple_Count_('GBIF:952', 'Anura')"
132,"('GBIF:783', 'Didelphimorphia')",order,0,-1,2,0,1,"order_tuple_Count_('GBIF:783', 'Didelphimorphia')"
133,"('GBIF:731', 'Artiodactyla')",order,0.1962025316455696,-0.550632911,79,0.1962025316455696,0.5506329113924051,"order_tuple_Count_('GBIF:731', 'Artiodactyla')"
134,"('GBIF:7192755', 'Procellariiformes')",order,-0.134615385,-0.807692308,26,0.1346153846153846,0.8076923076923077,"order_tuple_Count_('GBIF:7192755', 'Procellariiformes')"
135,"('GBIF:1425', 'Ixodida')",order,0.1744186046511628,-0.558139535,43,0.1744186046511628,0.5581395348837209,"order_tuple_Count_('GBIF:1425', 'Ixodida')"
136,"('GBIF:414', 'Asterales')",order,-0.032051282,-0.442307692,78,0.032051282,0.4423076923076923,"order_tuple_Count_('GBIF:414', 'Asterales')"
137,"('GBIF:1169', 'Asparagales')",order,0.23214285714285715,-0.625,28,0.23214285714285715,0.625,"order_tuple_Count_('GBIF:1169', 'Asparagales')"
138,"('GBIF:7191147', 'Accipitriformes')",order,-0.090909091,-0.727272727,22,0.090909091,0.7272727272727273,"order_tuple_Count_('GBIF:7191147', 'Accipitriformes')"
139,"('GBIF:1450', 'Strigiformes')",order,-0.230769231,-0.653846154,13,0.23076923076923078,0.6538461538461539,"order_tuple_Count_('GBIF:1450', 'Strigiformes')"
140,"('GBIF:408', 'Lamiales')",order,0.13194444444444445,-0.388888889,72,0.13194444444444445,0.3888888888888889,"order_tuple_Count_('GBIF:408', 'Lamiales')"
141,"('GBIF:1109', 'Mesostigmata')",order,0.6,-0.4,5,0.6,0.4,"order_tuple_Count_('GBIF:1109', 'Mesostigmata')"
142,"('GBIF:7763029', 'Naviculales')",order,-0.333333333,-0.333333333,3,0.3333333333333333,0.3333333333333333,"order_tuple_Count_('GBIF:7763029', 'Naviculales')"
143,"('GBIF:800', 'Blattodea')",order,0.25,-1,2,0.25,1,"order_tuple_Count_('GBIF:800', 'Blattodea')"
144,"('GBIF:1313', 'Salmoniformes')",order,-0.007936508,-0.373015873,63,0.007936508,0.373015873,"order_tuple_Count_('GBIF:1313', 'Salmoniformes')"
145,"('GBIF:1221', 'Rhizobiales')",order,1,-1,1,1,1,"order_tuple_Count_('GBIF:1221', 'Rhizobiales')"
146,"('GBIF:1290', 'Hypocreales')",order,0.5,0.5,4,0.5,0.5,"order_tuple_Count_('GBIF:1290', 'Hypocreales')"
147,"('GBIF:7497885', 'Peniculida')",order,1,-1,5,1,1,"order_tuple_Count_('GBIF:7497885', 'Peniculida')"
148,"('GBIF:10851379', 'Holosporales')",order,1,-1,2,1,1,"order_tuple_Count_('GBIF:10851379', 'Holosporales')"
149,"('GBIF:734', 'Chiroptera')",order,0.625,-0.416666667,12,0.625,0.4166666666666667,"order_tuple_Count_('GBIF:734', 'Chiroptera')"
150,"('GBIF:798', 'Primates')",order,0.17592592592592593,-0.37962963,54,0.17592592592592593,0.37962962962962965,"order_tuple_Count_('GBIF:798', 'Primates')"
151,"('GBIF:733', 'Cetacea')",order,0.125,-0.8125,16,0.125,0.8125,"order_tuple_Count_('GBIF:733', 'Cetacea')"
152,"('GBIF:498', 'Beloniformes')",order,-0.2,-0.9,10,0.2,0.9,"order_tuple_Count_('GBIF:498', 'Beloniformes')"
153,"('GBIF:1351', 'Apiales')",order,0.088235294,-0.411764706,17,0.088235294,0.4117647058823529,"order_tuple_Count_('GBIF:1351', 'Apiales')"
154,"('GBIF:440', 'Rhabditida')",order,-0.166666667,-0.25,6,0.16666666666666666,0.25,"order_tuple_Count_('GBIF:440', 'Rhabditida')"
155,"('GBIF:1176', 'Solanales')",order,0.32,-0.18,25,0.32,0.18,"order_tuple_Count_('GBIF:1176', 'Solanales')"
156,"('GBIF:7225535', 'Brassicales')",order,0.1721311475409836,-0.204918033,61,0.1721311475409836,0.20491803278688525,"order_tuple_Count_('GBIF:7225535', 'Brassicales')"
157,"('GBIF:422', 'Caryophyllales')",order,0.24285714285714285,-0.442857143,35,0.24285714285714285,0.44285714285714284,"order_tuple_Count_('GBIF:422', 'Caryophyllales')"
158,"('GBIF:1459', 'Rodentia')",order,-0.057692308,-0.384615385,52,0.057692307692307696,0.38461538461538464,"order_tuple_Count_('GBIF:1459', 'Rodentia')"
159,"('GBIF:9301143', 'Unionida')",order,-0.125,0.3333333333333333,12,0.125,0.3333333333333333,"order_tuple_Count_('GBIF:9301143', 'Unionida')"
160,"('GBIF:785', 'Lagomorpha')",order,-0.625,-0.4375,16,0.625,0.4375,"order_tuple_Count_('GBIF:785', 'Lagomorpha')"
161,"('GBIF:552', 'Arecales')",order,0,-0.6875,8,0,0.6875,"order_tuple_Count_('GBIF:552', 'Arecales')"
162,"('GBIF:797', 'Lepidoptera')",order,0.24305555555555555,-0.243055556,72,0.24305555555555555,0.24305555555555555,"order_tuple_Count_('GBIF:797', 'Lepidoptera')"
163,"('GBIF:588', 'Pleuronectiformes')",order,-0.066666667,-0.1,15,0.066666667,0.1,"order_tuple_Count_('GBIF:588', 'Pleuronectiformes')"
164,"('GBIF:953', 'Caudata')",order,0.3333333333333333,-0.5,6,0.3333333333333333,0.5,"order_tuple_Count_('GBIF:953', 'Caudata')"
165,"('GBIF:1126', 'Pucciniales')",order,-1,0,2,1,0,"order_tuple_Count_('GBIF:1126', 'Pucciniales')"
166,"('GBIF:716', 'Bucerotiformes')",order,0,0,6,0,0,"order_tuple_Count_('GBIF:716', 'Bucerotiformes')"
167,"('GBIF:946', 'Dipsacales')",order,0.5,-0.666666667,12,0.5,0.6666666666666666,"order_tuple_Count_('GBIF:946', 'Dipsacales')"
168,"('GBIF:549', 'Gadiformes')",order,0.28,-0.1,25,0.28,0.1,"order_tuple_Count_('GBIF:549', 'Gadiformes')"
169,"('GBIF:723', 'Galliformes')",order,-0.090909091,-0.727272727,11,0.090909091,0.7272727272727273,"order_tuple_Count_('GBIF:723', 'Galliformes')"
170,"('GBIF:538', 'Clupeiformes')",order,0.1,-0.55,40,0.1,0.55,"order_tuple_Count_('GBIF:538', 'Clupeiformes')"
171,"('GBIF:12202578', 'Scleralcyonacea')",order,0.071428571,-0.714285714,7,0.071428571,0.7142857142857143,"order_tuple_Count_('GBIF:12202578', 'Scleralcyonacea')"
172,"('GBIF:1231', 'Amphipoda')",order,-0.444444444,-1,9,0.4444444444444444,1,"order_tuple_Count_('GBIF:1231', 'Amphipoda')"
173,"('GBIF:7192402', 'Charadriiformes')",order,-0.040816327,-0.714285714,49,0.040816327,0.7142857142857143,"order_tuple_Count_('GBIF:7192402', 'Charadriiformes')"
174,"('GBIF:9330464', 'Mytilida')",order,-0.125,-1,4,0.125,1,"order_tuple_Count_('GBIF:9330464', 'Mytilida')"
175,"('GBIF:637', 'Decapoda')",order,0.2222222222222222,-0.583333333,18,0.2222222222222222,0.5833333333333334,"order_tuple_Count_('GBIF:637', 'Decapoda')"
176,"('GBIF:8214029', 'Myliobatiformes')",order,0.14285714285714285,-0.571428571,7,0.14285714285714285,0.5714285714285714,"order_tuple_Count_('GBIF:8214029', 'Myliobatiformes')"
177,"('GBIF:9529005', 'Cardiida')",order,0.42857142857142855,-0.428571429,7,0.42857142857142855,0.42857142857142855,"order_tuple_Count_('GBIF:9529005', 'Cardiida')"
